	 Date	 Team	 Acquired	 Relinquished	 Notes
0	2010-12-21	 Ducks	 	 • Nick Bonino	 bruised right foot (DTD)
1	2010-12-31	 Ducks	 • Nick Bonino	 	 returned to lineup
2	2011-11-02	 Ducks	 	 • Nick Bonino	 hyper-extended knee (DTD)
3	2012-03-10	 Ducks	 	 • Nick Bonino	 leg inijury (DTD)
4	2012-03-14	 Ducks	 • Nick Bonino	 	 returned to lineup
5	2013-03-10	 Ducks	 	 • Nick Bonino	 placed on IR with flu / lower body injury (CBC)
6	2013-04-21	 Ducks	 • Nick Bonino	 	 activated from IR
7	2014-01-31	 Ducks	 	 • Nick Bonino	 placed on IR with upper body injury
8	2014-02-28	 Ducks	 • Nick Bonino	 	 activated from IR
9	2014-03-20	 Ducks	 	 • Nick Bonino	 lower body injury (DTD)
10	2014-03-23	 Ducks	 • Nick Bonino	 	 returned to lineup
11	2015-02-10	 Canucks	 	 • Nick Bonino	 lower body injury (DTD)
12	2015-02-16	 Canucks	 	 • Nick Bonino	 placed on IR with foot injury
13	2015-02-22	 Canucks	 	 • Nick Bonino	 placed on IR with foot injury (SN)
14	2015-02-24	 Canucks	 • Nick Bonino	 	 activated from IR
15	2015-11-17	 Penguins	 	 • Nick Bonino	 undisclosed (DTD)
16	2015-11-19	 Penguins	 • Nick Bonino	 	 returned to lineup
17	2015-12-16	 Penguins	 	 • Nick Bonino	 illness (DTD)
18	2015-12-18	 Penguins	 • Nick Bonino	 	 returned to lineup
19	2016-01-13	 Penguins	 	 • Nick Bonino	 placed on IR with hand injury
20	2016-02-27	 Penguins	 • Nick Bonino	 	 activated from IR
21	2016-03-25	 Penguins	 	 • Nick Bonino	 upper body injury (DTD)
22	2016-03-26	 Penguins	 • Nick Bonino	 	 returned to lineup
23	2017-02-21	 Penguins	 	 • Nick Bonino	 illness (DTD)
24	2017-02-25	 Penguins	 • Nick Bonino	 	 returned to lineup
25	2017-06-02	 Penguins	 	 • Nick Bonino	 foot injury (out for season)
26	2017-10-03	 Predators	 	 • Nick Bonino	 placed on IR with fractured tibia in leg
27	2017-10-17	 Predators	 	 • Nick Bonino	 placed on IR with lower body injury
28	2017-11-14	 Predators	 • Nick Bonino	 	 activated from IR
29	2018-12-01	 Predators	 	 • Nick Bonino	 illness (DTD)
30	2018-12-03	 Predators	 • Nick Bonino	 	 returned to lineup
31	2020-02-21	 Predators	 	 • Nick Bonino	 illness (DTD)
32	2020-02-25	 Predators	 • Nick Bonino	 	 returned to lineup
