	 Date	 Team	 Acquired	 Relinquished	 Notes
0	2000-10-19	 Hurricanes	 	 • Marek Malik	 placed on IR
1	2005-10-10	 Rangers	 	 • Marek Malik	 groin injury (DTD)
2	2005-10-13	 Rangers	 • Marek Malik	 	 returned to lineup
3	2006-03-06	 Rangers	 	 • Marek Malik	 right shoulder injury (DTD)
4	2006-03-16	 Rangers	 • Marek Malik	 	 returned to lineup
5	2006-04-11	 Rangers	 	 • Marek Malik	 shoulder injury (DTD)
6	2006-04-15	 Rangers	 • Marek Malik	 	 returned to lineup
7	2006-09-22	 Rangers	 	 • Marek Malik	 surgery on knee (DTD)
8	2006-10-21	 Rangers	 	 • Marek Malik	 root canal (DTD)
9	2006-10-25	 Rangers	 • Marek Malik	 	 returned to lineup
10	2006-12-19	 Rangers	 	 • Marek Malik	 placed on IR with groin injury (DTD)
11	2007-01-04	 Rangers	 • Marek Malik	 	 activated from IR
12	2007-02-01	 Rangers	 	 • Marek Malik	 shoulder injury (DTD)
13	2007-02-09	 Rangers	 • Marek Malik	 	 returned to lineup
14	2007-02-18	 Rangers	 	 • Marek Malik	 shoulder injury (DTD)
15	2007-02-22	 Rangers	 • Marek Malik	 	 returned to lineup
16	2007-11-02	 Rangers	 	 • Marek Malik	 back injury (DTD)
17	2007-12-01	 Rangers	 • Marek Malik	 	 returned to lineup
18	2007-12-18	 Rangers	 	 • Marek Malik	 illness (DTD)
19	2007-12-23	 Rangers	 • Marek Malik	 	 returned to lineup
20	2008-02-01	 Rangers	 	 • Marek Malik	 knee injury (DTD)
21	2008-02-16	 Rangers	 • Marek Malik	 	 returned to lineup
22	2008-03-14	 Rangers	 	 • Marek Malik	 upper body injury (DTD)
23	2008-03-18	 Rangers	 • Marek Malik	 	 returned to lineup
24	2008-11-28	 Lightning	 	 • Marek Malik	 lower body injury (DTD)
25	2008-12-02	 Lightning	 • Marek Malik	 	 returned to lineup
26	2008-12-31	 Lightning	 	 • Marek Malik	 flu-like symptoms (DTD)
27	2009-01-19	 Lightning	 	 • Marek Malik	 placed on IR with lower body injury
28	2009-02-10	 Lightning	 • Marek Malik	 	 activated from IR
29	2009-02-14	 Lightning	 	 • Marek Malik	 lower body strain (DTD)
30	2009-02-22	 Lightning	 • Marek Malik	 	 returned to lineup
31	2009-03-03	 Lightning	 	 • Marek Malik	 lower body injury (DTD)
