	 Date	 Team	 Acquired	 Relinquished	 Notes
0	2013-10-29	 Rangers	 • Carl Hagelin	 	 activated from IR
1	2016-03-06	 Penguins	 	 • Carl Hagelin	 undisclosed injury (DTD)
2	2016-03-11	 Penguins	 • Carl Hagelin	 	 returned to lineup
3	2017-02-06	 Penguins	 	 • Carl Hagelin	 concussion (DTD)
4	2017-02-11	 Penguins	 	 • Carl Hagelin	 placed on IR with concussion
5	2017-02-17	 Penguins	 • Carl Hagelin	 	 activated from IR
6	2017-03-11	 Penguins	 	 • Carl Hagelin	 lower body injury (DTD)
7	2017-04-12	 Penguins	 	 • Carl Hagelin	 placed on IR with lower body injury
8	2017-04-29	 Penguins	 • Carl Hagelin	 	 activated from IR
9	2017-05-10	 Penguins	 	 • Carl Hagelin	 lower body injury (DTD)
10	2017-05-15	 Penguins	 • Carl Hagelin	 	 returned to lineup
11	2018-04-25	 Penguins	 	 • Carl Hagelin	 upper body injury (DTD)
12	2018-05-03	 Penguins	 • Carl Hagelin	 	 returned to lineup
13	2018-11-25	 Kings	 	 • Carl Hagelin	 placed on IR with sprained MCL in knee
14	2019-01-05	 Kings	 • Carl Hagelin	 	 activated from IR
15	2019-03-22	 Capitals	 	 • Carl Hagelin	 illness (DTD)
16	2019-03-23	 Capitals	 • Carl Hagelin	 	 returned to lineup
17	2019-11-09	 Capitals	 	 • Carl Hagelin	 upper body injury (DTD)
18	2019-11-20	 Capitals	 	 • Carl Hagelin	 placed on IR with upper body injury
19	2019-12-03	 Capitals	 • Carl Hagelin	 	 activated from IR
