	 Date	 Team	 Acquired	 Relinquished	 Notes
0	2011-10-03	 Oilers	 	 • Taylor Fedun	 placed on IR with fractured right femur (out for season)
1	2016-12-04	 Sabres	 	 • Taylor Fedun	 shoulder injury (DTD)
2	2016-12-13	 Sabres	 	 • Taylor Fedun	 placed on IR with shoulder injury
3	2016-12-17	 Sabres	 • Taylor Fedun	 	 activated from IR
4	2017-03-18	 Sabres	 	 • Taylor Fedun	 foot injury (out for season)
5	2017-11-16	 Sabres	 	 • Taylor Fedun	 placed on IR with lower body injury
6	2018-01-05	 Sabres	 • Taylor Fedun	 	 activated from IR
7	2018-12-31	 Stars	 	 • Taylor Fedun	 illness (DTD)
8	2019-01-02	 Stars	 • Taylor Fedun	 	 returned to lineup
9	2019-05-03	 Stars	 	 • Taylor Fedun	 left eye injury (DTD)
10	2019-05-05	 Stars	 • Taylor Fedun	 	 returned to lineup
11	2020-08-05	 Stars	 	 • Taylor Fedun	 undisclosed (DTD)
12	2020-08-11	 Stars	 • Taylor Fedun	 	 returned to lineup
13	2020-09-04	 Stars	 	 • Taylor Fedun	 undisclosed (DTD)
14	2020-09-12	 Stars	 • Taylor Fedun	 	 returned to lineup
