	 Date	 Team	 Acquired	 Relinquished	 Notes
0	2014-03-12	 Red Wings	 	 • Tomas Jurco	 rib injury (DTD)
1	2014-03-26	 Red Wings	 • Tomas Jurco	 	 returned to lineup
2	2015-01-07	 Red Wings	 	 • Tomas Jurco	 back injury (DTD)
3	2015-01-28	 Red Wings	 • Tomas Jurco	 	 returned to lineup
4	2015-03-14	 Red Wings	 	 • Tomas Jurco	 facial injury (DTD)
5	2015-03-15	 Red Wings	 • Tomas Jurco	 	 returned to lineup
6	2015-04-02	 Red Wings	 	 • Tomas Jurco	 upper body injury (DTD)
7	2015-04-11	 Red Wings	 • Tomas Jurco	 	 returned to lineup
8	2016-01-02	 Red Wings	 	 • Tomas Jurco	 upper body injury (DTD)
9	2016-01-06	 Red Wings	 • Tomas Jurco	 	 returned to lineup
10	2016-10-08	 Red Wings	 	 • Tomas Jurco	 placed on IR with back injury
11	2016-11-28	 Red Wings	 • Tomas Jurco	 	 activated from IR
12	2018-04-06	 Blackhawks	 	 • Tomas Jurco	 illness (out for season)
13	2019-10-01	 Oilers	 	 • Tomas Jurco	 undisclosed (DTD)
14	2019-10-05	 Oilers	 • Tomas Jurco	 	 returned to lineup
