,date_game,game_season,age,team_id,game_location,opp_id,game_result,decision,goals_against,shots_against,saves,save_pct,shutouts,pen_min,time_on_ice
68,2002-03-27,60,28-326,PIT,,NJD,L,L,4,31,27,.871,0,0,59:07
69,2002-03-30,61,28-329,PIT,@,MTL,L-OT,L,2,35,33,.943,0,0,61:32
70,2002-04-01,62,28-331,PIT,,MTL,L,L,3,24,21,.875,0,0,59:35
71,2002-04-04,63,28-334,PIT,@,TBL,L,L,3,31,28,.903,0,0,59:17
72,2002-04-08,64,28-338,PIT,@,NYR,L,L,3,21,18,.857,0,0,58:40
73,2002-04-10,65,28-340,PIT,,BUF,T,T,0,9,9,1.000,0,0,17:52
74,2002-04-12,66,28-342,PIT,,TOR,L,L,5,28,23,.821,0,0,60:00
75,2002-10-10,1,29-158,PIT,,TOR,L,L,6,25,19,.760,0,0,60:00
76,2002-10-14,2,29-162,PIT,@,TOR,W,W,3,30,27,.900,0,2,51:32
77,2002-10-16,3,29-164,PIT,,ATL,W,W,2,34,32,.941,0,0,60:00
78,2002-10-19,4,29-167,PIT,,TBL,T,T,3,41,38,.927,0,2,64:55
79,2002-10-22,5,29-170,PIT,@,MTL,T,T,3,33,30,.909,0,0,64:39
80,2002-10-26,6,29-174,PIT,,BUF,W,W,2,31,29,.935,0,0,60:00
81,2002-10-28,7,29-176,PIT,,WSH,W,W,2,42,40,.952,0,0,60:00
82,2002-10-30,8,29-178,PIT,@,OTT,W,W,1,22,21,.955,0,0,60:00
83,2002-11-02,9,29-181,PIT,,TBL,W,W,3,29,26,.897,0,0,60:00
84,2002-11-06,10,29-185,PIT,@,FLA,L-OT,L,4,24,20,.833,0,0,60:49
85,2002-11-08,11,29-187,PIT,@,TBL,L,L,3,21,18,.857,0,0,59:35
86,2002-11-14,12,29-193,PIT,@,MIN,T,T,1,31,30,.968,0,0,65:00
87,2002-11-16,13,29-195,PIT,,NYI,L,L,3,27,24,.889,0,2,58:58
88,2002-11-18,14,29-197,PIT,@,MTL,L-OT,L,5,25,20,.800,0,0,60:57
89,2002-11-22,15,29-201,PIT,@,ATL,W,W,1,37,36,.973,0,0,60:00
90,2002-11-29,16,29-208,PIT,@,BUF,W,W,1,44,43,.977,0,0,60:00
91,2002-12-03,17,29-212,PIT,,WSH,L,L,4,32,28,.875,0,0,60:00
92,2002-12-07,18,29-216,PIT,,NYI,L,L,6,26,20,.769,0,0,60:00
93,2002-12-14,19,29-223,PIT,@,LAK,L-OT,L,3,33,30,.909,0,0,64:22
94,2002-12-17,20,29-226,PIT,@,PHX,L,L,5,30,25,.833,0,0,60:00
95,2002-12-21,21,29-230,PIT,,CGY,W,W,0,23,23,1.000,1,0,60:00
96,2002-12-23,22,29-232,PIT,,BUF,W,W,2,19,17,.895,0,0,59:58
97,2002-12-26,23,29-235,PIT,@,NYR,W,W,1,12,11,.917,0,0,37:51
98,2002-12-31,24,29-240,PIT,@,CBJ,L,L,4,33,29,.879,0,2,58:34
99,2003-01-04,25,29-244,PIT,,NYI,W,W,2,28,26,.929,0,2,60:42
100,2003-02-08,26,29-279,PIT,@,BOS,W,W,2,28,26,.929,0,2,60:00
101,2003-02-12,27,29-283,PIT,,OTT,L,L,3,25,22,.880,0,0,60:00
