	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh
72	1999-03-28		San Jose Sharks	5	2	W			24	12	1		0		18	12	2		0
73	1999-03-30		Phoenix Coyotes	4	7	L			35	15	1		0		25	15	1		1
74	1999-04-01		Toronto Maple Leafs	1	5	L			31	14	0		0		23	14	3		0
75	1999-04-03	@	Colorado Avalanche	2	5	L			32	24	2		0		24	30	1		0
76	1999-04-07		Calgary Flames	4	2	W			30	10	2		0		25	14	0		0
77	1999-04-09	@	Calgary Flames	4	1	W			25	10	2		0		27	16	0		0
78	1999-04-10	@	Vancouver Canucks	1	1	T	OT		24	8	0		0		24	22	1		0
79	1999-04-12	@	San Jose Sharks	5	4	W	OT		34	20	1		0		20	18	0		0
80	1999-04-16		Colorado Avalanche	5	1	W			31	28	0		1		18	44	0		0
81	1999-04-17		Calgary Flames	3	2	W			27	18	1		1		33	8	1		0
