	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh	empty1	corsi_for	corsi_against	corsi_pct	fenwick_for	fenwick_against	fenwick_pct	faceoff_wins	faceoff_losses	faceoff_percentage	zs_offense_pct	pdo
40	2015-01-10	@	Colorado Avalanche	3	4	L			40	6	0		0		30	12	0		0		64	35	64.6	42	33	56.0	26	27	49.1	46.7	95.4
41	2015-01-13		Ottawa Senators	5	4	W			29	6	1		0		41	6	2		0		45	65	40.9	34	46	42.5	39	20	66.1	27.9	110.3
42	2015-01-15		Winnipeg Jets	1	2	L			47	6	0		0		22	16	0		1		67	33	67.0	50	25	66.7	33	14	70.2	64.9	97.9
43	2015-01-17		Washington Capitals	5	4	W			26	6	1		0		32	10	0		0		37	58	38.9	27	36	42.9	18	37	32.7	25.9	106.2
44	2015-01-18	@	Chicago Blackhawks	6	3	W			34	11	1		1		41	9	1		0		46	68	40.4	38	49	43.7	34	28	54.8	34.4	107.8
45	2015-01-20		Boston Bruins	1	3	L			37	8	0		0		27	12	1		0		54	40	57.4	41	32	56.2	20	18	52.6	57.7	95.2
46	2015-01-27	@	Montreal Canadiens	2	3	L			42	10	1		0		26	23	1		0		59	32	64.8	43	23	65.2	21	24	46.7	67.9	89.6
47	2015-01-29	@	Ottawa Senators	6	3	W			41	12	2		2		28	8	1		0		51	45	53.1	43	29	59.7	27	24	52.9	42.4	97.6
48	2015-01-31	@	Winnipeg Jets	5	2	W			32	13	4		0		40	35	0		0		33	86	27.7	29	59	33.0	23	29	44.2	45.1	99.3
49	2015-02-03		Colorado Avalanche	2	3	L	SO		32	9	1		0		24	11	0		0		56	52	51.9	37	35	51.4	30	23	56.6	52.1	95.3
50	2015-02-05		Tampa Bay Lightning	3	5	L			36	8	0		0		29	10	1		0		59	57	50.9	51	34	60.0	26	24	52.0	61.4	93.0
51	2015-02-07	@	Buffalo Sabres	2	3	L			40	4	1		0		24	4	1		0		79	32	71.2	53	25	67.9	28	30	48.3	80.0	92.9
52	2015-02-08	@	New York Rangers	3	2	W	OT		25	6	1		0		36	6	1		0		38	57	40.0	28	42	40.0	34	21	61.8	41.7	106.9
53	2015-02-10	@	Boston Bruins	5	3	W			32	21	0		2		44	4	0		1		42	53	44.2	36	40	47.4	25	25	50.0	28.5	105.2
54	2015-02-13		Florida Panthers	2	0	W			28	8	0		1		37	23	0		0		47	54	46.5	38	41	48.1	27	24	52.9	35.2	105.6
55	2015-02-14	@	Colorado Avalanche	1	4	L			25	21	0		0		30	32	0		0		55	56	49.5	33	39	45.8	29	42	40.8	59.4	90.1
56	2015-02-17	@	St. Louis Blues	4	1	W			22	11	1		0		28	13	0		0		29	42	40.8	23	26	46.9	19	27	41.3	35.9	115.0
