	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh
72	2006-03-29	@	New York Islanders	5	1	W			22	24	1		0		19	36	1		0
73	2006-03-30	@	Ottawa Senators	1	4	L			25	27	0		0		32	21	3		0
74	2006-04-04		Philadelphia Flyers	3	2	W	SO		40	11	0		0		23	19	0		0
75	2006-04-06		New York Islanders	3	1	W			26	6	0		0		22	10	0		0
76	2006-04-08	@	Boston Bruins	4	3	W	OT		25	17	1		0		26	13	1		0
77	2006-04-09	@	New Jersey Devils	2	3	L			26	19	1		0		26	12	2		0
78	2006-04-11		New York Islanders	2	3	L			38	19	1		0		30	19	1		0
79	2006-04-13	@	Pittsburgh Penguins	3	5	L			24	10	1		0		35	4	2		0
80	2006-04-15	@	Philadelphia Flyers	1	4	L			26	16	1		0		29	26	1		0
81	2006-04-18		Ottawa Senators	1	5	L			28	18	0		0		32	10	2		1
