	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh	empty1	corsi_for	corsi_against	corsi_pct	fenwick_for	fenwick_against	fenwick_pct	faceoff_wins	faceoff_losses	faceoff_percentage	zs_offense_pct	pdo
40	2009-12-31		Los Angeles Kings	2	5	L			29	15	0		0		29	17	1		0		39	44	47.0	31	29	51.7	24	15	61.5	59.1	93.2
41	2010-01-02		New Jersey Devils	3	5	L			32	6	0		1		26	4	2		0		54	37	59.3	45	28	61.6	23	22	51.1	53.3	93.3
42	2010-01-05	@	Chicago Blackhawks	1	4	L			20	8	0		0		33	16	1		0		32	48	40.0	20	36	35.7	16	22	42.1	37.5	96.3
43	2010-01-06		Calgary Flames	4	1	W			35	4	1		0		26	10	0		0		45	45	50.0	34	35	49.3	20	17	54.1	47.8	108.9
44	2010-01-09		Chicago Blackhawks	6	5	W	SO		21	4	1		0		25	4	1		1		35	40	46.7	22	28	44.0	26	28	48.1	31.4	107.4
45	2010-01-11		Pittsburgh Penguins	4	3	W			24	14	0		0		38	11	0		0		34	46	42.5	26	37	41.3	22	22	50.0	33.1	115.0
46	2010-01-13		Vancouver Canucks	5	2	W			22	29	1		0		31	39	1		0		29	43	40.3	23	33	41.1	29	26	52.7	38.6	121.2
47	2010-01-14	@	St. Louis Blues	0	1	L			19	16	0		0		37	10	0		0		35	56	38.5	24	44	35.3	29	25	53.7	39.4	97.1
48	2010-01-16	@	Phoenix Coyotes	4	6	L			22	12	2		0		33	8	1		1		44	51	46.3	35	34	50.7	22	22	50.0	53.3	94.6
49	2010-01-18	@	Dallas Stars	3	4	L			25	10	1		0		29	8	1		0		42	41	50.6	33	33	50.0	23	20	53.5	56.6	97.0
50	2010-01-21		Detroit Red Wings	3	4	L	SO		30	6	0		0		29	2	0		0		51	47	52.0	39	39	50.0	29	10	74.4	50.0	96.7
51	2010-01-23		Columbus Blue Jackets	4	2	W			28	16	0		0		24	22	0		0		39	44	47.0	30	33	47.6	19	26	42.2	43.6	109.5
52	2010-01-27		Detroit Red Wings	5	2	W			25	8	2		0		28	16	0		0		38	43	46.9	28	29	49.1	21	19	52.5	37.9	109.3
53	2010-01-28	@	Colorado Avalanche	1	0	W			26	4	0		0		29	10	0		0		38	47	44.7	23	33	41.1	22	17	56.4	32.0	105.0
54	2010-01-30	@	San Jose Sharks	2	5	L			38	14	2		0		36	10	4		0		48	41	53.9	38	28	57.6	19	23	45.2	58.3	95.5
55	2010-02-02	@	Dallas Stars	2	4	L			42	16	1		0		18	18	1		0		65	30	68.4	52	20	72.2	26	18	59.1	75.9	75.8
56	2010-02-04		Edmonton Oilers	4	2	W			36	8	0		0		32	6	1		0		50	37	57.5	35	34	50.7	31	15	67.4	51.6	110.4
57	2010-02-06		Philadelphia Flyers	2	1	W			30	10	0		0		39	10	0		0		38	47	44.7	32	34	48.5	19	26	42.2	48.6	105.5
58	2010-02-10		Phoenix Coyotes	2	3	L			31	4	1		0		31	4	0		0		52	41	55.9	41	35	53.9	20	26	43.5	43.3	92.3
59	2010-02-12		Atlanta Thrashers	2	3	L			38	16	1		0		24	8	1		0		54	44	55.1	41	31	56.9	25	30	45.5	69.6	92.5
60	2010-02-14		Vancouver Canucks	6	2	W			41	14	4		0		29	36	0		0		41	41	50.0	32	33	49.2	27	22	55.1	43.8	101.2
61	2010-03-03	@	Calgary Flames	4	0	W			21	4	0		0		29	0	0		0		31	55	36.0	27	40	40.3	34	17	66.7	31.4	119.0
62	2010-03-05	@	Edmonton Oilers	1	2	L	SO		29	8	0		0		23	10	0		0		47	53	47.0	33	41	44.6	35	20	63.6	46.0	99.4
63	2010-03-07		Calgary Flames	2	5	L			29	10	1		0		24	8	2		0		46	35	56.8	30	30	50.0	28	16	63.6	49.7	89.2
64	2010-03-09		Florida Panthers	2	3	L	SO		11	10	1		0		31	4	0		0		34	54	38.6	17	36	32.1	21	23	47.7	32.5	101.7
65	2010-03-11	@	Detroit Red Wings	1	5	L			22	12	0		0		30	10	1		1		29	36	44.6	26	26	50.0	20	22	47.6	51.6	88.9
66	2010-03-12	@	Buffalo Sabres	3	2	W			33	19	1		0		45	11	1		0		37	54	40.7	30	42	41.7	21	30	41.2	42.1	105.1
67	2010-03-14		St. Louis Blues	4	2	W			20	19	1		0		38	13	1		0		28	58	32.6	26	41	38.8	27	26	50.9	43.2	112.5
68	2010-03-16		Edmonton Oilers	4	2	W			28	12	0		0		36	8	1		0		54	48	52.9	41	35	53.9	31	25	55.4	36.9	112.3
69	2010-03-18	@	Nashville Predators	0	5	L			17	6	0		0		37	4	1		0		35	56	38.5	21	45	31.8	23	34	40.4	41.2	87.5
70	2010-03-19	@	Columbus Blue Jackets	2	4	L			20	10	0		0		32	6	0		0		31	46	40.3	25	32	43.9	14	23	37.8	20.3	98.2
71	2010-03-21		Calgary Flames	4	3	W			21	2	1		0		32	4	1		0		31	54	36.5	26	39	40.0	27	36	42.9	24.4	108.5
72	2010-03-23		San Jose Sharks	1	4	L			19	10	1		0		17	8	0		0		30	37	44.8	24	24	50.0	18	22	45.0	50.3	63.6
73	2010-03-25	@	Philadelphia Flyers	4	3	W	OT		21	10	1		0		35	8	0		0		40	61	39.6	30	43	41.1	21	26	44.7	61.1	106.7
74	2010-03-26	@	Detroit Red Wings	2	6	L			27	20	1		0		42	10	2		1		25	47	34.7	22	40	35.5	19	22	46.3	65.4	94.8
75	2010-03-29		Los Angeles Kings	3	2	W			20	10	2		0		31	6	0		0		30	51	37.0	20	35	36.4	27	22	55.1	36.5	98.7
76	2010-03-31		Chicago Blackhawks	0	4	L			21	2	0		0		35	6	0		0		43	59	42.2	27	46	37.0	26	30	46.4	31.6	87.5
77	2010-04-02		San Jose Sharks	2	3	L			29	6	1		0		28	12	0		0		32	40	44.4	22	34	39.3	13	20	39.4	31.6	93.9
78	2010-04-04	@	Vancouver Canucks	3	4	L	OT		27	14	1		0		40	16	2		1		31	44	41.3	18	32	36.0	12	13	48.0	55.8	112.7
79	2010-04-05	@	Edmonton Oilers	1	4	L			26	23	0		0		31	9	1		1		48	45	51.6	33	30	52.4	19	15	55.9	68.2	95.5
80	2010-04-08	@	Calgary Flames	2	1	W	SO		24	12	1		0		33	12	0		0		26	40	39.4	22	27	44.9	22	16	57.9	35.8	95.5
81	2010-04-10		Dallas Stars	3	4	L	SO		27	23	1		0		26	21	1		0		43	39	52.4	37	29	56.1	23	18	56.1	50.4	98.5
