	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh
72	2007-03-17	@	Calgary Flames	4	2	W			26	6	1		0		21	10	0		0
73	2007-03-20		Phoenix Coyotes	3	2	W			26	8	1		0		31	6	2		0
74	2007-03-22		St. Louis Blues	5	1	W			37	11	3		0		23	19	0		0
75	2007-03-24		Los Angeles Kings	4	1	W			23	15	1		0		33	19	1		0
76	2007-03-27		Calgary Flames	0	1	L	SO		38	6	0		0		24	4	0		0
77	2007-03-29		Calgary Flames	2	4	L			25	8	2		0		19	14	1		0
78	2007-03-31	@	Colorado Avalanche	1	2	L			24	12	1		0		32	8	2		0
79	2007-04-03		Edmonton Oilers	3	0	W			26	20	2		0		25	20	0		0
80	2007-04-05		Edmonton Oilers	3	0	W			29	4	0		0		22	6	0		0
81	2007-04-07		St. Louis Blues	5	1	W			31	6	1		0		25	10	0		0
