,Season,Salary
0,1989-90,147875
1,1990-91,171400
2,1991-92,196425
3,1992-93,909700
4,1993-94,949375
5,1994-95,1254857
6,1995-96,2125035
7,1996-97,1826290
8,1997-98,2731630
9,1998-99,3087344
10,1999-00,455000
