,Season,Salary
0,1986-87,108000
1,1987-88,120640
2,1988-89,276420
3,1989-90,261950
4,1990-91,265670
5,1991-92,370152
6,1992-93,1323200
7,1993-94,1600000
8,1994-95,994286
9,1995-96,975000
10,1996-97,1025000
11,1997-98,2000000
12,1998-99,3100000
13,1999-00,3000000
