,Season,Salary
0,2008-09,550000
1,2009-10,570000
2,2010-11,1900000
3,2011-12,1800000
4,2012-13,995122
5,2013-14,7000000
6,2014-15,7000000
7,2015-16,7000000
8,2016-17,7000000
9,2017-18,7000000
10,2018-19,7000000
11,2019-20,7000000
