,Season,Salary
0,2002-03,400000
1,2003-04,550000
2,2006-07,1200000
3,2007-08,1000000
4,2008-09,1100000
5,2009-10,6000000
6,2010-11,6000000
7,2011-12,5000000
8,2012-13,0
9,2013-14,2500000
