,Season,Salary
0,2007-08,850000
1,2008-09,850000
2,2009-10,850000
3,2010-11,2500000
4,2011-12,3000000
5,2012-13,3219512
6,2013-14,5750000
7,2014-15,6750000
8,2015-16,7000000
9,2016-17,7000000
10,2017-18,7000000
11,2018-19,15000000
12,2019-20,15000000
