,Season,Salary
0,1983-84,49250
1,1984-85,41173
2,1985-86,19233
3,1986-87,61200
4,1987-88,67860
5,1988-89,73170
6,1989-90,169000
7,1990-91,192825
8,1991-92,192060
9,1992-93,250000
