,Season,Salary
0,1996-97,230000
1,1999-00,500000
2,2000-01,550000
3,2001-02,1600000
4,2002-03,1850000
5,2003-04,2575000
6,2005-06,2432000
7,2006-07,700000
8,2007-08,950000
9,2008-09,1000000
10,2009-10,1000000
11,2010-11,600000
