,Season,Salary
0,1996-97,455000
1,1999-00,475000
2,2000-01,550000
3,2001-02,750000
4,2002-03,1900000
5,2003-04,2200000
6,2005-06,2128000
7,2006-07,2128000
8,2007-08,3500000
9,2008-09,3500000
10,2009-10,1400000
11,2010-11,950000
12,2011-12,800000
13,2012-13,760976
