,Season,Salary
0,2007-08,850000
1,2008-09,850000
2,2009-10,850000
3,2010-11,1000000
4,2011-12,1500000
5,2012-13,2048780
6,2013-14,6000000
7,2014-15,7500000
8,2015-16,7500000
9,2016-17,7500000
10,2017-18,7500000
11,2018-19,7000000
12,2019-20,6500000
