,Season,Salary
0,2003-04,1240000
1,2006-07,989520
2,2007-08,1600000
3,2008-09,3500000
4,2009-10,3500000
5,2010-11,5500000
6,2011-12,5500000
7,2012-13,3219512
8,2013-14,5750000
9,2014-15,5750000
10,2015-16,5750000
11,2016-17,5750000
12,2017-18,5750000
13,2018-19,5750000
14,2019-20,8500000
