,Season,Salary
0,1990-91,30984
1,1992-93,165400
2,1993-94,182125
3,1994-95,292800
4,1995-96,574088
5,1996-97,900000
6,1997-98,1000000
7,1998-99,1115000
8,1999-00,2100000
9,2000-01,2350000
10,2001-02,2700000
