,Season,Salary
0,2001-02,900000
1,2002-03,1400000
2,2003-04,1200000
3,2005-06,600000
4,2006-07,850000
5,2007-08,1150000
6,2008-09,1000000
7,2009-10,1175000
8,2010-11,1000000
9,2011-12,1250000
10,2012-13,819512
