	player	unique_id	year_start	year_finish	position	link	injuries_found
0	David Aebischer	aebisda01	2001	2008	G	https://www.hockey-reference.com/players/a/aebisda01.html	0.0
1	Sami Aittokallio	aittosa01	2013	2014	G	https://www.hockey-reference.com/players/a/aittosa01.html	1.0
2	Jake Allen	allenja01	2013	2020	G	https://www.hockey-reference.com/players/a/allenja01.html	4.0
3	Jorge Alves	alvesjo01	2017	2017	G	https://www.hockey-reference.com/players/a/alvesjo01.html	0.0
4	Frederik Andersen	anderfr01	2014	2020	G	https://www.hockey-reference.com/players/a/anderfr01.html	27.0
5	Craig Anderson	andercr01	2003	2020	G	https://www.hockey-reference.com/players/a/andercr01.html	37.0
6	Ken Appleby	appleke01	2018	2018	G	https://www.hockey-reference.com/players/a/appleke01.html	0.0
7	Tom Askey	askeyto01	1998	1998	G	https://www.hockey-reference.com/players/a/askeyto01.html	2.0
8	Jean-Sebastien Aubin	aubinje01	1999	2008	G	https://www.hockey-reference.com/players/a/aubinje01.html	6.0
9	Alex Auld	auldal01	2002	2012	G	https://www.hockey-reference.com/players/a/auldal01.html	3.0
10	David Ayres	ayresda01	2020	2020	G	https://www.hockey-reference.com/players/a/ayresda01.html	0.0
11	Jason Bacashihua	bacasja01	2006	2007	G	https://www.hockey-reference.com/players/b/bacasja01.html	5.0
12	Ryan Bach	bachry01	1999	1999	G	https://www.hockey-reference.com/players/b/bachry01.html	0.0
13	Richard Bachman	bachmri01	2011	2019	G	https://www.hockey-reference.com/players/b/bachmri01.html	2.0
14	Johan Backlund	backljo01	2010	2010	G	https://www.hockey-reference.com/players/b/backljo01.html	1.0
15	Niklas Backstrom	backsni01	2007	2016	G	https://www.hockey-reference.com/players/b/backsni01.html	35.0
16	Scott Bailey	bailesc01	1996	1997	G	https://www.hockey-reference.com/players/b/bailesc01.html	0.0
17	Mike Bales	balesmi01	1993	1997	G	https://www.hockey-reference.com/players/b/balesmi01.html	0.0
18	Tom Barrasso	barrato01	1984	2003	G	https://www.hockey-reference.com/players/b/barrato01.html	13.0
19	Don Beaupre	beaupdo01	1981	1997	G	https://www.hockey-reference.com/players/b/beaupdo01.html	5.0
20	Stephane Beauregard	beaurst01	1990	1994	G	https://www.hockey-reference.com/players/b/beaurst01.html	0.0
21	Chris Beckford-Tseu	beckfch01	2008	2008	G	https://www.hockey-reference.com/players/b/beckfch01.html	0.0
22	Ed Belfour	belfoed01	1989	2007	G	https://www.hockey-reference.com/players/b/belfoed01.html	8.0
23	Jean-Claude Bergeron	bergeje01	1991	1997	G	https://www.hockey-reference.com/players/b/bergeje01.html	0.0
24	Adam Berkhoel	berkhad01	2006	2006	G	https://www.hockey-reference.com/players/b/berkhad01.html	0.0
25	Jonathan Bernier	bernijo01	2008	2020	G	https://www.hockey-reference.com/players/b/bernijo01.html	26.0
26	Reto Berra	berrare01	2014	2018	G	https://www.hockey-reference.com/players/b/berrare01.html	5.0
27	Daniel Berthiaume	berthda01	1987	1994	G	https://www.hockey-reference.com/players/b/berthda01.html	0.0
28	Jean-Francois Berube	berubje02	2016	2018	G	https://www.hockey-reference.com/players/b/berubje02.html	3.0
29	Allan Bester	besteal01	1984	1996	G	https://www.hockey-reference.com/players/b/besteal01.html	1.0
30	Antoine Bibeau	bibeaan01	2017	2020	G	https://www.hockey-reference.com/players/b/bibeaan01.html	0.0
31	Zac Bierk	bierkza01	1998	2004	G	https://www.hockey-reference.com/players/b/bierkza01.html	2.0
32	Craig Billington	billicr01	1986	2003	G	https://www.hockey-reference.com/players/b/billicr01.html	5.0
33	Jordan Binnington	binnijo01	2016	2020	G	https://www.hockey-reference.com/players/b/binnijo01.html	0.0
34	Martin Biron	bironma01	1996	2014	G	https://www.hockey-reference.com/players/b/bironma01.html	5.0
35	Ben Bishop	bishobe01	2009	2020	G	https://www.hockey-reference.com/players/b/bishobe01.html	45.0
36	Dan Blackburn	blackda01	2002	2003	G	https://www.hockey-reference.com/players/b/blackda01.html	3.0
37	Mackenzie Blackwood	blackma01	2019	2020	G	https://www.hockey-reference.com/players/b/blackma01.html	5.0
38	John Blue	bluejo01	1993	1996	G	https://www.hockey-reference.com/players/b/bluejo01.html	0.0
39	Sergei Bobrovsky	bobrose01	2011	2020	G	https://www.hockey-reference.com/players/b/bobrose01.html	30.0
40	Brian Boucher	bouchbr01	2000	2013	G	https://www.hockey-reference.com/players/b/bouchbr01.html	21.0
41	Landon Bow	bowla01	2019	2019	G	https://www.hockey-reference.com/players/b/bowla01.html	0.0
42	Kevin Boyle	boyleke01	2019	2019	G	https://www.hockey-reference.com/players/b/boyleke01.html	0.0
43	Fred Brathwaite	brathfr01	1994	2004	G	https://www.hockey-reference.com/players/b/brathfr01.html	0.0
44	Martin Brochu	brochma01	1999	2004	G	https://www.hockey-reference.com/players/b/brochma01.html	0.0
45	Martin Brodeur	brodema01	1992	2015	G	https://www.hockey-reference.com/players/b/brodema01.html	22.0
46	Mike Brodeur	brodemi01	2010	2011	G	https://www.hockey-reference.com/players/b/brodemi01.html	0.0
47	Laurent Brossoit	brossla01	2015	2020	G	https://www.hockey-reference.com/players/b/brossla01.html	1.0
48	Mario Brunetta	brunema01	1988	1990	G	https://www.hockey-reference.com/players/b/brunema01.html	0.0
49	Barry Brust	brustba01	2007	2007	G	https://www.hockey-reference.com/players/b/brustba01.html	0.0
50	Ilya Bryzgalov	bryzgil01	2002	2015	G	https://www.hockey-reference.com/players/b/bryzgil01.html	15.0
51	Peter Budaj	budajpe01	2006	2019	G	https://www.hockey-reference.com/players/b/budajpe01.html	4.0
52	Tyler Bunz	bunzty01	2015	2015	G	https://www.hockey-reference.com/players/b/bunzty01.html	0.0
53	Sean Burke	burkese01	1988	2007	G	https://www.hockey-reference.com/players/b/burkese01.html	14.0
54	Jack Campbell	campbja01	2014	2020	G	https://www.hockey-reference.com/players/c/campbja01.html	4.0
55	Jim Carey	careyji01	1995	1999	G	https://www.hockey-reference.com/players/c/careyji01.html	0.0
56	Sebastien Caron	caronse01	2003	2012	G	https://www.hockey-reference.com/players/c/caronse01.html	3.0
57	Jon Casey	caseyjo01	1984	1997	G	https://www.hockey-reference.com/players/c/caseyjo01.html	0.0
58	Frederic Cassivi	cassifr01	2002	2007	G	https://www.hockey-reference.com/players/c/cassifr01.html	0.0
59	Roman Cechmanek	cechmro01	2001	2004	G	https://www.hockey-reference.com/players/c/cechmro01.html	4.0
60	Sebastien Centomo	centose01	2002	2002	G	https://www.hockey-reference.com/players/c/centose01.html	0.0
61	Frederic Chabot	chabofr01	1991	1999	G	https://www.hockey-reference.com/players/c/chabofr01.html	0.0
62	Sebastien Charpentier	charpse01	2002	2004	G	https://www.hockey-reference.com/players/c/charpse01.html	0.0
63	Tim Cheveldae	cheveti01	1989	1997	G	https://www.hockey-reference.com/players/c/cheveti01.html	1.0
64	Alain Chevrier	chevral01	1986	1991	G	https://www.hockey-reference.com/players/c/chevral01.html	0.0
65	Andy Chiodo	chiodan01	2004	2004	G	https://www.hockey-reference.com/players/c/chiodan01.html	0.0
66	Mathieu Chouinard	chouima02	2004	2004	G	https://www.hockey-reference.com/players/c/chouima02.html	0.0
67	Scott Clemmensen	clemmsc01	2002	2015	G	https://www.hockey-reference.com/players/c/clemmsc01.html	8.0
68	Matt Climie	climima01	2009	2011	G	https://www.hockey-reference.com/players/c/climima01.html	0.0
69	Dan Cloutier	cloutda01	1998	2008	G	https://www.hockey-reference.com/players/c/cloutda01.html	12.0
70	Jacques Cloutier	cloutja01	1982	1994	G	https://www.hockey-reference.com/players/c/cloutja01.html	0.0
71	Gerald Coleman	colemge01	2006	2006	G	https://www.hockey-reference.com/players/c/colemge01.html	0.0
72	Eric Comrie	comrier01	2017	2020	G	https://www.hockey-reference.com/players/c/comrier01.html	0.0
73	Mike Condon	condomi01	2016	2019	G	https://www.hockey-reference.com/players/c/condomi01.html	1.0
74	Ty Conklin	conklty01	2002	2012	G	https://www.hockey-reference.com/players/c/conklty01.html	5.0
75	Pheonix Copley	copleph01	2016	2019	G	https://www.hockey-reference.com/players/c/copleph01.html	0.0
76	Jared Coreau	coreaja01	2017	2018	G	https://www.hockey-reference.com/players/c/coreaja01.html	2.0
77	Marcel Cousineau	cousima01	1997	2000	G	https://www.hockey-reference.com/players/c/cousima01.html	1.0
78	Wayne Cowley	cowlewa01	1994	1994	G	https://www.hockey-reference.com/players/c/cowlewa01.html	0.0
79	Corey Crawford	crawfco01	2006	2020	G	https://www.hockey-reference.com/players/c/crawfco01.html	25.0
80	John Curry	curryjo01	2009	2015	G	https://www.hockey-reference.com/players/c/curryjo01.html	0.0
81	Alessio	dalesco01	1993	1993	G	https://www.hockey-reference.com/players/d/dalesco01.html	0.0
82	Joey Daccord	daccojo01	2019	2019	G	https://www.hockey-reference.com/players/d/daccojo01.html	0.0
83	Byron Dafoe	dafoeby01	1993	2004	G	https://www.hockey-reference.com/players/d/dafoeby01.html	4.0
84	Jean-Francois Damphousse	damphje01	2002	2002	G	https://www.hockey-reference.com/players/d/damphje01.html	0.0
85	Yann Danis	danisya01	2006	2016	G	https://www.hockey-reference.com/players/d/danisya01.html	1.0
86	Oscar Dansk	danskos01	2018	2020	G	https://www.hockey-reference.com/players/d/danskos01.html	2.0
87	Scott Darling	darlisc01	2015	2019	G	https://www.hockey-reference.com/players/d/darlisc01.html	4.0
88	Mark Dekanich	dekanma01	2011	2011	G	https://www.hockey-reference.com/players/d/dekanma01.html	3.0
89	Matt DelGuidice	delguma01	1991	1992	G	https://www.hockey-reference.com/players/d/delguma01.html	0.0
90	Collin Delia	deliaco01	2018	2019	G	https://www.hockey-reference.com/players/d/deliaco01.html	0.0
91	Aaron Dell	dellaa01	2017	2020	G	https://www.hockey-reference.com/players/d/dellaa01.html	0.0
92	Thatcher Demko	demkoth01	2018	2020	G	https://www.hockey-reference.com/players/d/demkoth01.html	7.0
93	Marc Denis	denisma01	1997	2009	G	https://www.hockey-reference.com/players/d/denisma01.html	9.0
94	Philippe DeRouville	derouph01	1995	1997	G	https://www.hockey-reference.com/players/d/derouph01.html	0.0
95	Cedrick Desjardins	desjace01	2011	2014	G	https://www.hockey-reference.com/players/d/desjace01.html	2.0
96	Jeff Deslauriers	drouije01	2009	2012	G	https://www.hockey-reference.com/players/d/drouije01.html	0.0
97	Casey DeSmith	desmica01	2018	2019	G	https://www.hockey-reference.com/players/d/desmica01.html	0.0
98	Patrick DesRochers	desropa01	2002	2003	G	https://www.hockey-reference.com/players/d/desropa01.html	0.0
99	Michael Dipietro	dipiemi01	2019	2020	G	https://www.hockey-reference.com/players/d/dipiemi01.html	0.0
100	Rick DiPietro	dipieri01	2001	2013	G	https://www.hockey-reference.com/players/d/dipieri01.html	46.0
