	index	player	unique_id	year_start	year_finish	position	link
0	0	Antti Aalto	aaltoan01	1998	2001	F	https://www.hockey-reference.com/players/a/aaltoan01.html
1	3	Spencer Abbott	abbotsp01	2014	2017	F	https://www.hockey-reference.com/players/a/abbotsp01.html
2	4	Justin Abdelkader	abdelju01	2008	2020	F	https://www.hockey-reference.com/players/a/abdelju01.html
3	8	Pontus Aberg	abergpo01	2017	2020	F	https://www.hockey-reference.com/players/a/abergpo01.html
4	10	Ramzi Abid	abidra01	2003	2007	F	https://www.hockey-reference.com/players/a/abidra01.html
5	12	Vitaly Abramov	abramvi01	2019	2020	F	https://www.hockey-reference.com/players/a/abramvi01.html
6	13	Noel Acciari	acciano01	2016	2020	F	https://www.hockey-reference.com/players/a/acciano01.html
7	16	Keith Acton	actonke01	1980	1994	F	https://www.hockey-reference.com/players/a/actonke01.html
8	17	Will Acton	actonwi01	2014	2015	F	https://www.hockey-reference.com/players/a/actonwi01.html
9	19	Luke Adam	adamlu01	2011	2015	F	https://www.hockey-reference.com/players/a/adamlu01.html
10	21	Bryan Adams	adamsbr01	2000	2001	F	https://www.hockey-reference.com/players/a/adamsbr01.html
11	22	Craig Adams	adamscr01	2001	2015	F	https://www.hockey-reference.com/players/a/adamscr01.html
12	23	Greg Adams	adamsgr01	1981	1990	F	https://www.hockey-reference.com/players/a/adamsgr01.html
13	24	Greg Adams	adamsgr02	1985	2001	F	https://www.hockey-reference.com/players/a/adamsgr02.html
14	28	Kevyn Adams	adamske01	1998	2008	F	https://www.hockey-reference.com/players/a/adamske01.html
15	31	David Aebischer	aebisda01	2001	2008	G	https://www.hockey-reference.com/players/a/aebisda01.html
16	32	Dmitry Afanasenkov	afanadm01	2001	2007	F	https://www.hockey-reference.com/players/a/afanadm01.html
17	34	Maxim Afinogenov	afinoma01	2000	2010	F	https://www.hockey-reference.com/players/a/afinoma01.html
18	35	Jim Agnew	agnewji01	1987	1993	D	https://www.hockey-reference.com/players/a/agnewji01.html
19	36	Kenny Agostino	agostke01	2014	2019	F	https://www.hockey-reference.com/players/a/agostke01.html
20	37	Andrew Agozzino	agozzan01	2015	2020	F	https://www.hockey-reference.com/players/a/agozzan01.html
21	40	Sebastian Aho	ahose01	2017	2020	F	https://www.hockey-reference.com/players/a/ahose01.html
22	41	Sebastian Aho	ahose02	2018	2018	D	https://www.hockey-reference.com/players/a/ahose02.html
23	42	Peter Ahola	aholape01	1992	1994	D	https://www.hockey-reference.com/players/a/aholape01.html
24	46	Brad Aitken	aitkebr01	1988	1991	F	https://www.hockey-reference.com/players/a/aitkebr01.html
25	47	Johnathan Aitken	aitkejo01	2000	2004	D	https://www.hockey-reference.com/players/a/aitkejo01.html
26	49	Sami Aittokallio	aittosa01	2013	2014	G	https://www.hockey-reference.com/players/a/aittosa01.html
27	50	Micah Aivazoff	aivazmi01	1994	1996	F	https://www.hockey-reference.com/players/a/aivazmi01.html
28	51	Jason Akeson	akesoja01	2013	2015	F	https://www.hockey-reference.com/players/a/akesoja01.html
29	52	Mika Alatalo	alatami01	2000	2001	F	https://www.hockey-reference.com/players/a/alatami01.html
30	53	Tommy Albelin	albelto01	1988	2006	D	https://www.hockey-reference.com/players/a/albelto01.html
