	index	player	unique_id	year_start	year_finish	position	link
172	2745	Brandon Halverson	halvebr01	2018	2018	G	https://www.hockey-reference.com/players/h/halvebr01.html
173	2767	Andrew Hammond	hammoan01	2014	2018	G	https://www.hockey-reference.com/players/h/hammoan01.html
174	2783	Glen Hanlon	hanlogl01	1978	1991	G	https://www.hockey-reference.com/players/h/hanlogl01.html
175	2803	Josh Harding	hardijo01	2006	2014	G	https://www.hockey-reference.com/players/h/hardijo01.html
176	2835	Carter Hart	hartca01	2019	2020	G	https://www.hockey-reference.com/players/h/hartca01.html
177	2848	Dominik Hasek	hasekdo01	1991	2008	G	https://www.hockey-reference.com/players/h/hasekdo01.html
178	2856	Adam Hauser	hausead01	2006	2006	G	https://www.hockey-reference.com/players/h/hausead01.html
179	2878	Brian Hayward	haywabr01	1983	1993	G	https://www.hockey-reference.com/players/h/haywabr01.html
180	2887	Glenn Healy	healygl01	1986	2001	G	https://www.hockey-reference.com/players/h/healygl01.html
181	2894	Guy Hebert	hebergu01	1992	2001	G	https://www.hockey-reference.com/players/h/hebergu01.html
182	2899	Johan Hedberg	hedbejo01	2001	2013	G	https://www.hockey-reference.com/players/h/hedbejo01.html
183	2906	Cal Heeter	heeteca01	2014	2014	G	https://www.hockey-reference.com/players/h/heeteca01.html
184	2925	Riku Helenius	helenri01	2009	2009	G	https://www.hockey-reference.com/players/h/helenri01.html
185	2928	Magnus Hellberg	hellbma01	2014	2017	G	https://www.hockey-reference.com/players/h/hellbma01.html
186	2929	Connor Hellebuyck	helleco01	2016	2020	G	https://www.hockey-reference.com/players/h/helleco01.html
187	2984	Ron Hextall	hextaro01	1987	1999	G	https://www.hockey-reference.com/players/h/hextaro01.html
188	3007	Adin Hill	hillad01	2018	2020	G	https://www.hockey-reference.com/players/h/hillad01.html
189	3015	Jonas Hiller	hillejo01	2008	2016	G	https://www.hockey-reference.com/players/h/hillejo01.html
190	3030	Corey Hirsch	hirscco01	1993	2003	G	https://www.hockey-reference.com/players/h/hirscco01.html
191	3043	Milan Hnilicka	hnilimi01	2000	2004	G	https://www.hockey-reference.com/players/h/hnilimi01.html
192	3054	Kevin Hodson	hodsoke01	1996	2003	G	https://www.hockey-reference.com/players/h/hodsoke01.html
193	3063	Bruce Hoffort	hoffobr01	1990	1991	G	https://www.hockey-reference.com/players/h/hoffobr01.html
194	3067	Marcus Hogberg	hogbema01	2019	2020	G	https://www.hockey-reference.com/players/h/hogbema01.html
195	3098	Johan Holmqvist	holmqjo01	2001	2008	G	https://www.hockey-reference.com/players/h/holmqjo01.html
196	3105	Chris Holt	holtch01	2006	2009	G	https://www.hockey-reference.com/players/h/holtch01.html
197	3108	Braden Holtby	holtbbr01	2011	2020	G	https://www.hockey-reference.com/players/h/holtbbr01.html
198	3144	Martin Houle	houlema01	2007	2007	G	https://www.hockey-reference.com/players/h/houlema01.html
