t1_ave_goals,t1_ave_oppgoals,t1_ave_oppshots,t1_ave_shots,t1_loses,t1_otl,t1_point_pct,t1_points,t1_recent_ave_goals,t1_recent_ave_oppgoals,t1_recent_ave_oppshots,t1_recent_ave_shots,t1_recent_games,t1_recent_loses,t1_recent_otl,t1_recent_point_pct,t1_recent_points,t1_recent_sos,t1_recent_srs,t1_recent_ties,t1_recent_wins,t1_rest_days,t1_shots,t1_sos,t1_srs,t1_ties,t1_total_games,t1_wins,t2_ave_goals,t2_ave_oppgoals,t2_ave_oppshots,t2_ave_shots,t2_loses,t2_otl,t2_point_pct,t2_points,t2_recent_ave_goals,t2_recent_ave_oppgoals,t2_recent_ave_oppshots,t2_recent_ave_shots,t2_recent_games,t2_recent_loses,t2_recent_otl,t2_recent_point_pct,t2_recent_points,t2_recent_sos,t2_recent_srs,t2_recent_ties,t2_recent_wins,t2_rest_days,t2_shots,t2_sos,t2_srs,t2_ties,t2_total_games,t2_wins
3.1818181818181817,2.0,30.09090909090909,30.636363636363637,3.0,3.0,0.864,19.0,3.375,2.25,27.25,30.75,8.0,3.0,3.0,0.812,13.0,0.2584790209790209,1.3834790209790209,0.0,5.0,2.0,33.0,-0.1661333615879071,1.0156848202302748,0.0,11.0,8.0,2.4444444444444446,3.3333333333333335,29.22222222222222,30.333333333333332,6.0,2.0,0.444,8.0,2.8333333333333335,3.1666666666666665,27.333333333333332,28.0,6.0,3.0,1.0,0.583,7.0,-0.6595117845117846,-0.9928451178451179,0.0,3.0,2.0,24.0,-0.2998143831477166,-1.1887032720366055,0.0,9.0,3.0
3.4166666666666665,2.25,29.583333333333332,30.833333333333332,3.0,3.0,0.875,21.0,3.625,2.25,27.25,28.625,8.0,2.0,2.0,0.875,14.0,0.2039231601731602,1.5789231601731601,0.0,6.0,2.0,33.0,-0.188961038961039,0.9777056277056277,0.0,12.0,9.0,3.6363636363636362,3.909090909090909,29.818181818181817,32.18181818181818,6.0,0.0,0.455,10.0,3.5,4.125,29.75,32.625,8.0,5.0,0.0,0.375,6.0,-0.05768190143190144,-0.6826819014319014,0.0,3.0,2.0,34.0,-0.39732237459510195,-0.6700496473223747,0.0,11.0,5.0
3.3846153846153846,2.3846153846153846,29.923076923076923,31.0,4.0,4.0,0.846,22.0,3.5555555555555554,2.4444444444444446,28.0,29.11111111111111,9.0,3.0,3.0,0.833,15.0,0.23717948717948717,1.3482905982905984,0.0,6.0,2.0,35.0,-0.10502958579881655,0.8949704142011834,0.0,13.0,9.0,2.3333333333333335,4.416666666666667,31.333333333333332,30.416666666666668,9.0,0.0,0.25,6.0,2.25,4.25,31.625,30.125,8.0,6.0,0.0,0.25,4.0,0.07859848484848486,-1.9214015151515151,0.0,2.0,6.0,27.0,0.08637334887334887,-1.9969599844599846,0.0,12.0,3.0
3.5714285714285716,2.357142857142857,29.714285714285715,31.285714285714285,4.0,4.0,0.857,24.0,3.888888888888889,2.2222222222222223,27.11111111111111,28.666666666666668,9.0,2.0,2.0,0.889,16.0,-0.18162393162393162,1.485042735042735,0.0,7.0,3.0,40.0,-0.2806122448979593,0.9336734693877549,0.0,14.0,10.0,3.5454545454545454,2.727272727272727,33.45454545454545,26.818181818181817,4.0,0.0,0.636,14.0,4.0,2.5714285714285716,32.285714285714285,30.428571428571427,7.0,2.0,0.0,0.714,10.0,-0.5633699633699634,0.8652014652014652,0.0,5.0,2.0,17.0,-0.5246753246753246,0.2935064935064936,0.0,11.0,7.0
3.533333333333333,2.3333333333333335,28.866666666666667,31.866666666666667,4.0,4.0,0.867,26.0,3.7777777777777777,2.3333333333333335,26.555555555555557,29.666666666666668,9.0,2.0,2.0,0.889,16.0,-0.23872489166606817,1.2057195527783762,0.0,7.0,3.0,27.0,-0.2884478919773038,0.9115521080226962,0.0,15.0,11.0,2.5,2.375,26.25,32.3125,8.0,1.0,0.531,17.0,2.6666666666666665,2.3333333333333335,25.11111111111111,34.666666666666664,9.0,4.0,0.0,0.556,10.0,0.27305657305657305,0.6063899063899063,0.0,5.0,3.0,20.0,0.2378949175824176,0.3628949175824176,0.0,16.0,8.0
3.6875,2.1875,28.3125,31.5625,4.0,4.0,0.875,28.0,4.222222222222222,2.2222222222222223,25.666666666666668,29.444444444444443,9.0,2.0,2.0,0.889,16.0,-0.3843041490100314,1.6156958509899686,0.0,7.0,1.0,37.0,-0.30158775048480935,1.1984122495151905,0.0,16.0,12.0,2.642857142857143,2.857142857142857,30.857142857142858,27.428571428571427,9.0,2.0,0.429,12.0,3.142857142857143,2.7142857142857144,31.428571428571427,26.285714285714285,7.0,4.0,1.0,0.5,7.0,-0.21915227629513348,0.20941915227629507,0.0,3.0,3.0,18.0,-0.07876535229476404,-0.2930510665804783,0.0,14.0,5.0
3.4705882352941178,2.235294117647059,27.705882352941178,31.88235294117647,5.0,4.0,0.824,28.0,3.888888888888889,2.3333333333333335,24.22222222222222,31.22222222222222,9.0,3.0,2.0,0.778,14.0,-0.3007171387073348,1.2548384168482207,0.0,6.0,2.0,38.0,-0.28180381027540014,0.9534903073716587,0.0,17.0,12.0,3.0,2.1333333333333333,30.466666666666665,29.066666666666666,4.0,0.0,0.733,22.0,2.7142857142857144,2.5714285714285716,31.285714285714285,27.428571428571427,7.0,3.0,0.0,0.571,8.0,0.11305162415843532,0.2559087670155782,0.0,4.0,1.0,26.0,0.08784567628220881,0.9545123429488755,0.0,15.0,11.0
3.4444444444444446,2.2222222222222223,27.61111111111111,32.22222222222222,5.0,4.0,0.833,30.0,3.5555555555555554,2.3333333333333335,23.666666666666668,33.22222222222222,9.0,3.0,2.0,0.778,14.0,-0.196353151397011,1.0258690708252114,0.0,6.0,3.0,41.0,-0.19774084585101098,1.0244813763712113,0.0,18.0,13.0,2.1176470588235294,4.0,29.058823529411764,32.588235294117645,14.0,2.0,0.235,8.0,2.3333333333333335,3.888888888888889,29.11111111111111,32.888888888888886,9.0,7.0,1.0,0.278,5.0,0.25128425639261553,-1.3042712991629402,0.0,2.0,2.0,16.0,0.24650766911511765,-1.635845272061353,0.0,17.0,3.0
3.473684210526316,2.473684210526316,27.0,32.68421052631579,6.0,4.0,0.789,30.0,3.7777777777777777,2.7777777777777777,21.77777777777778,34.0,9.0,3.0,1.0,0.722,13.0,-0.44166618889271114,0.5583338111072889,0.0,6.0,2.0,45.0,-0.26063303899583845,0.7393669610041615,0.0,19.0,13.0,2.4705882352941178,3.1176470588235294,29.176470588235293,25.41176470588235,11.0,2.0,0.412,14.0,1.25,2.375,27.125,23.625,8.0,6.0,2.0,0.375,6.0,-0.4227726178190574,-1.5477726178190574,0.0,2.0,1.0,24.0,-0.2968721544345292,-0.943930977963941,0.0,17.0,6.0
3.45,2.55,26.85,33.3,7.0,5.0,0.775,31.0,3.7777777777777777,3.2222222222222223,22.88888888888889,36.55555555555556,9.0,4.0,2.0,0.667,12.0,-0.45152696556205335,0.10402858999350223,0.0,5.0,2.0,30.0,-0.28808213716108455,0.6119178628389155,0.0,20.0,13.0,2.473684210526316,4.0,32.05263157894737,29.894736842105264,13.0,0.0,0.316,12.0,2.7142857142857144,3.2857142857142856,33.285714285714285,29.0,7.0,4.0,0.0,0.429,6.0,0.2248076902212241,-0.3466208812073473,0.0,3.0,1.0,28.0,0.11939038185575583,-1.4069254076179285,0.0,19.0,6.0
